2664 Broadway,40.79791,-73.96908,4.0,1061531504,1061531654
242 E 10th St,40.7287913561,-73.9845903218,4.0,42430903,42430914
851 Lexington Ave,40.76555,-73.96545,4.5,42447060,42447020
23 E 51st St,40.75896,-73.975414,3.5,42440453,5475605300
1219 Lexington Ave,40.77704,-73.95721,3.5,42429334,42447060
1711 Lexington Ave,40.792937912,-73.9455429167,4.0,4888459233,42447182
694 Columbus Ave,40.791465,-73.96891,4.0,42436985,4215936664
540 Laguardia Pl,40.72889,-73.99861,4.0,42440553,42452396
348 Wythe Ave,40.714145,-73.965322,4.0,42506325,42505376
1678 3rd Ave,40.78412,-73.95052,3.0,6181480009,42450044
148 8th Ave,40.7418029,-74.0008131,3.5,42435603,42429662
168 W 25th St,40.7450752258,-73.9944458008,4.0,42428212,42430594
151 Bleecker St,40.72843,-73.99945,3.5,42430187,42431822
11 W 42nd St,40.7543,-73.98179,3.5,42437358,42430333
232 Metropolitan Ave,40.714954204,-73.959709364,4.5,42484186,42480149
371 7th Ave,40.74885,-73.99197,3.5,42435422,42435420
370 Lexington Ave,40.75058,-73.97685,3.0,42432444,42446949
31-47 Steinway St,40.7600826433,-73.9179300909,4.5,42882996,42917872
1131 Madison Ave,40.7797391765,-73.9593520761,3.5,42435499,42429324
299 W Houston St,40.7287,-74.00788,4.5,42436371,42448568
1322 2nd Ave,40.76716,-73.95922,4.0,42429693,42443000
922 3rd Ave,40.75942,-73.96853,3.5,42443615,42432856
325 Manhattan Ave,40.71516,-73.946451,5.0,42514870,42466376
861 Lexington Ave,40.7657519724,-73.9653012156,3.5,42447060,42447020
597 Hudson St,40.73702,-74.00595,3.5,42436414,6211334202
71 Nassau St,40.7097126478,-74.0083819833,4.0,42456492,42427236
34-19 30th Ave,40.765619,-73.9181399,4.0,42874056,42874062
15 The Promenade,40.8070353004,-73.9899612463,4.0,3477651061,3480323779
1429 3rd Ave,40.77536,-73.95628,4.5,42436486,6181480009
5 Beekman St,40.71132,-74.00671,3.5,42456492,42443844
739 Broadway,40.7299118949,-73.9928511189,3.0,42428473,6213204045
1475 2nd Ave,40.7718007247,-73.9564039626,3.5,42429693,42443000
177 Mulberry St,40.720329,-73.997045,3.0,42435434,1692433914
362 2nd Ave,40.73674,-73.98152,4.5,1692450029,4205565502
416 3rd Ave,40.7431,-73.98032,4.0,42449928,42445378
305 Bleecker St,40.7326925,-74.0036155,3.5,5837088105,42431773
1450 Second Ave,40.771,-73.95636,3.5,4215940680,42454701
937 2nd Ave,40.7547303545,-73.9688900113,3.5,42442952,42442949
1645 3rd Ave,40.78269,-73.95094,3.5,6181480009,42450044
85 Broadway,40.71069,-73.96559,4.0,42505380,42505383
372 Lafayette St,40.7271874,-73.9938924,3.5,4202984496,42431165
215 Chrystie St,40.7230205731,-73.9919801429,3.5,42443127,1918039877
10 Columbus Cir,40.76847,-73.983092,3.5,1825841754,1825841700
1535 3rd Ave,40.779238,-73.953303,3.5,6181480009,42450044
544 Union Ave,40.7171,-73.95164,4.0,42520612,42514559
49 Canal St,40.714973,-73.991539,3.5,42440679,42440677
2104 Frederick Douglass Blvd,40.8030219,-73.9563781,4.0,42435743,5475792646
46 Mulberry St,40.71503,-73.99956,4.0,42435434,1692433914
10-37 Jackson Ave,40.74241,-73.95323,4.0,42844233,2799469684
189 Malcolm X Blvd,40.804397583,-73.9484176636,3.5,3099327962,4207724571
3503 Broadway,40.76058,-73.92182,4.0,42849730,2402842566
166 1st Ave,40.72881,-73.98403,4.5,4205565489,42440743
1271 3rd Ave,40.7705399,-73.95981,3.0,42436486,6181480009
44 E 28th St,40.7436553,-73.9852171,4.0,42438544,42442898
327 W 11th St,40.7357789013,-74.0072582623,4.0,42436407,42449098
50 W 72nd St,40.7769972178,-73.978433311,3.5,42443336,42442432
68 Bleecker St,40.726279954,-73.9955807734,3.5,42431822,1773084391
785 9th Ave,40.76509,-73.98818,4.0,4207837422,42445027
